nombre,edadre,edadap,genero,osexual,raza,varraza, subraza,varsubraza,grupo,rango,elemento,doble,pdlsemana,,
Arabella Ferns,125,25,Femenino,Pansexual,Elfo,Elfo drow,Vampiro,-,Titania,Ciudadano,Lumonis,FALSE,FALSE,,Jules Delacroix
Aren Madsen,62,40,Masculino,Heterosexual,"Mestizo, Humano, Ángel",Ángel luminoso,Hechicero,-,Adamas,Gobierno,Lumonis,FALSE,FALSE,,Zayre Peltier
Argus Notch,41,41,Masculino,Pansexual,Humano,-,Elemental,Elemental de fuego,Balzakin,Ciudadano,Nicragos,TRUE,FALSE,,William Charles
Arkadiy Yarotsky,95,30,Masculino,Pansexual,"Mestizo, Demonio, Ángel","Ángel luminoso, Demonio súcubo",Ciborg,-,Hidra,Criminal,Sunobos,FALSE,FALSE,,Jareth
Arsène Morvan Poe,65,34,Masculino,Bisexual,"Mestizo, Shifter, Lamia","Shifter de cóndor, Lamia naga",Esper,-,Wanderer,Esclavo,Akvados,FALSE,TRUE,,Kura
Artheus,50,33,Masculino,Demisexual,Ángel,Ángel caído,-,-,Nocity,Esclavo,Nicragos,FALSE,FALSE,,
Asgeir Börkur,32,32,Masculino,Bisexual,Demonio,Demonio raksa,-,-,Adamas,Ciudadano,Flamodis,FALSE,FALSE,,
Asher Vael,34,34,Masculino,Bisexual,Ángel,Ángel caído,-,-,Ryuulong,Gobierno,Nicragos,FALSE,FALSE,,
Asuna Watanabe,26,26,Femenino,Bisexual,"Mestizo, Humano, Demonio",Demonio súcubo,-,-,Titania,Ciudadano,Sunobos,FALSE,FALSE,,
Atlas Delaney,100,25,Masculino,Pansexual,"Mestizo, Humano, Ángel",Ángel caído,Velo,Velo sagrado,Adamas,ECPD,Lumonis,FALSE,TRUE,,
Aurelia Vane-Astrea,84,24,Femenino,Asexual,"Mestizo, Humano, Elfo",Elfo drow,Velo,Velo sagrado,Lumiere,Academia Noire,Lumonis,FALSE,TRUE,,
Blair Winslow,23,23,Femenino,Heterosexual,"Mestizo, Humano, Demonio",Demonio súcubo,-,-,Undine,Instituto Prisma,Nicragos,FALSE,FALSE,,
Brunhilde Clawford,29,29,Femenino,Bisexual,Humano,-,-,-,Adamas,ECPD,Lumonis,TRUE,TRUE,,
Byron Auditore,20,20,Masculino,Heterosexual,Humano,-,Hechicero,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Caleb Ashwick,87,30,Masculino,Bisexual,Demonio,Demonio raksa,-,-,Hidra,El Anillo,Nicragos,FALSE,FALSE,,
Camille,20,20,Masculino,Homosexual,"Mestizo, Dragón, Shifter","Dragón occidental, Shifter de ajolote",-,-,Hidra,Esclavo,Akvados,FALSE,FALSE,,
Camus Liam,32,32,Masculino,Bisexual,Humano,-,Licántropo,-,Lumiere,Academia Noire,Arbamis,FALSE,FALSE,,
Cash Trash,32,32,Masculino,Indefinida,Humano,-,-,-,Nocity,El Anillo,Ventodis,FALSE,FALSE,,
"Cassandra ""Cassie"" Blair Stark",19,19,Femenino,Heterosexual,Humano,-,Esper,-,Union Tech,Instituto Prisma,Sunobos,FALSE,FALSE,,
Cassian Bellerose,19,19,Masculino,Homosexual,Humano,-,-,-,Nocity,El Anillo,Ventodis,FALSE,FALSE,,
Claire Ducrème,29,29,Femenino,Demisexual,Dragón,Dragón occidental,-,-,Alewing,Gobierno,Flamodis,FALSE,TRUE,,
Dabiel Belega Naskitago Tortovanila,117,36,Femenino,Pansexual,"Mestizo, Elfo, Ángel","Elfo drow, Ángel luminoso",Hechicero,-,Lumiere,Academia Noire,Sunobos,FALSE,FALSE,,
Danna Baker,25,25,Femenino,Heterosexual,Humano,-,-,-,Union Tech,Instituto Prisma,Arbamis,FALSE,FALSE,,
Darion Mograine,31,31,Masculino,Heterosexual,"Mestizo, Humano, Demonio",Demonio súcubo,Hechicero,-,Lumiere,Ciudadano,N/A!,FALSE,FALSE,,
Dashiell ‘Maverick’ Chase,29,29,Masculino,Bisexual,Humano,-,Hechicero,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Demian Isaac Asche,100,35,Masculino,Demisexual,Humano,-,Vampiro,-,Union Tech,Ciudadano,Nicragos,FALSE,FALSE,,
Dietrich Van Eyck,30,30,Masculino,Demisexual,Humano,-,Esper,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Dominic von Eisenwald,36,36,Masculino,Pansexual,Humano,-,Hechicero,-,Adamas,Gobierno,Flamodis,FALSE,FALSE,,
Dorian Stirling,22,22,Masculino,Indefinida,Humano,-,Velo,Velo abisal,Union Tech,Instituto Prisma,Nicragos,FALSE,FALSE,,
Drew Grimway,28,28,Masculino,Heterosexual,"Mestizo, Humano, Demonio",Demonio raksa,-,-,Nocity,Criminal,Flamodis,FALSE,FALSE,,
Dylan Skovgaard,20,20,Masculino,Pansexual,Demonio,Demonio súcubo,-,-,Ryuulong,Academia Noire,Nicragos,FALSE,FALSE,,
Eiden Vesper,24,26,Masculino,Homosexual,Demonio,Demonio súcubo,Esper,-,Lumiere,Academia Noire,Nicragos,FALSE,FALSE,,
Eila Graveborn,320!,32,Femenino,Demisexual,Dragón,Dragón occidental,Hechicero,-,Lumiere,Forastero,Arbamis,FALSE,FALSE,,
Eileen Alkan,25,25,Femenino,Heterosexual,Elfo,Alto elfo,Vampiro,-,Undine,Ciudadano,Akvados,FALSE,FALSE,,
Eira,24,24,Femenino,Heterosexual,Hada,Hada fatua,-,-,Alewing,Esclavo,Flamodis,FALSE,TRUE,,
Elian Moreau,35,35,Masculino,Homosexual,Humano,-,-,-,Balzakin,Instituto Prisma,Arbamis,FALSE,FALSE,,
Elizabetta Montgomery,35,35,Femenino,Bisexual,Humano,-,Vampiro,-,Alewing,Corpo,Nicragos,TRUE,FALSE,,
Elyse Cyrenis Dagny,23,23,Femenino,Heterosexual,"Mestizo, Ángel, Sirena","Ángel luminoso, Sirena marina",-,-,Adamas,ECPD,Akvados,FALSE,FALSE,,
Elysia Thalassa,35,35,Femenino,Heterosexual,Sirena,Sirena marina,-,-,Extranjero,Forastero,Akvados,FALSE,TRUE,,
Enlil Verloden,92,22,Masculino,Pansexual,Elfo,Elfo silvano,Hechicero,-,Lumiere,Academia Noire,Arbamis,FALSE,TRUE,,
Eryx Callisthenes,150,32,Masculino,Homosexual,Lamia,Lamia medusa,-,-,Hidra,Criminal,Lumonis,FALSE,FALSE,,
Ezekiel Rubinus,28,28,Masculino,Homosexual,Fénix,Fénix llameante,Hechicero,-,Hidra,El Anillo,Flamodis,FALSE,FALSE,,
Faustus Blaine Schweblin,76,26,Masculino,Heterosexual,Demonio,Demonio súcubo,Fantasma,Fantasma yurei,Extranjero,Criminal,Nicragos,FALSE,FALSE,,
Forgal Eliab Durand Delaqua,32,32,Masculino,Heterosexual,Humano,-,-,-,Adamas,ECPD,Flamodis,FALSE,TRUE,,
Fortuna,20,20,Femenino,Heterosexual,SIA,-,-,-,Nocity,El Anillo,Teragos,FALSE,FALSE,,
Haamiah,300,?!,Masculino,Asexual,Ángel,Ángel caído,-,-,Hidra,Corpo,Nicragos,TRUE,FALSE,,
Hanamura Hana,19,19,Femenino,Heterosexual,Humano,-,-,-,Nocity,Ciudadano,Nicragos,FALSE,TRUE,,
Hannibal Guthier,38,38,Masculino,Sapiosexual,"Humano, Ángel",N/A!,Velo,N/A!,Adamas,Gobierno,Nicragos,FALSE,FALSE,,
Hao Feng,35,27,Masculino,Demisexual,Humano,-,Hechicero,-,Ryuulong,Academia Noire,Lumonis,FALSE,FALSE,,
Haru,22,22,Masculino,Indefinida,SIA,-,Biodroide,-,Wanderer,Criminal,Flamodis,FALSE,FALSE,,
Henning Pfeiffer,22,22,Masculino,Homosexual,Nekomata,-,Mutante,-,Ryuulong,Criminal,Flamodis,FALSE,TRUE,,
Hope Claire Bailey,21,21,Femenino,Heterosexual,Ángel,Ángel luminoso,-,-,Lumiere,Academia Noire,Lumonis,FALSE,FALSE,,
Hunter Jekyll Grosvenor,199,30,Masculino,Bisexual,Demonio,Demonio súcubo,Hechicero,-,Undine,Ciudadano,Nicragos,FALSE,FALSE,,
Hyakunosuke Ogata,26,26,Masculino,Asexual,Humano,-,-,-,Ryuulong,Nagekoro,Sunobos,FALSE,FALSE,,
Ilyana Björnsdottir,36,36,Femenino,Pansexual,"Mestizo, Elfo, Hada","Alto elfo, Hada ninfa",-,-,Adamas,Gobierno,Lumonis,FALSE,FALSE,,
Irukandji,90,19,Femenino,Heterosexual,Ángel,Ángel luminoso,Hechicero,-,Lumiere,Criminal,Lumonis,FALSE,FALSE,,
Ishikawa Rei,34,34,Masculino,Pansexual,Elfo,Alto elfo,Hechicero,-,Nocity,Ciudadano,Ventodis,FALSE,FALSE,,
Jake Evernormand,29,29,Masculino,Heterosexual,Humano,-,-,-,Balzakin,ECPD,Teragos,FALSE,FALSE,,
Jareth,27,27,Masculino,Pansexual,Fénix,Fénix llameante,Hechicero,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Jules Delacroix,28,28,Masculino,Pansexual,Dragón,Dragón occidental,-,-,Adamas,ECPD,Teragos,FALSE,FALSE,,
Jules Velrune,21,21,Masculino,Bisexual,"Mestizo, Elfo, Demonio","Elfo drow, Demonio preta",Vampiro,-,Balzakin,Ciudadano,Nicragos,TRUE,FALSE,,
"Julian ""Jude"" Richards",24,24,Masculino,Heterosexual,"Mestizo, Humano, Sirena",Sirena marina,-,-,Balzakin,Ciudadano,Akvados,FALSE,FALSE,,
Kail Walson,23,23,Masculino,Bisexual,Dragón,Dragón occidental,-,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Kang Heuk-jun,35,35,Masculino,Bisexual,Humano,-,Licántropo,-,Ryuulong,Criminal,Flamodis,FALSE,FALSE,,
Karina Arlovskaya,90,24,Femenino,Demisexual,Fénix,Fénix boreal,-,-,Alewing,Gobierno,Akvados,FALSE,FALSE,,
Khem,27,27,Masculino,Pansexual,Humano,-,-,-,Nocity,Esclavo,Teragos,FALSE,FALSE,,
Killian Astaroth,119,23,Masculino,Heterosexual,Ángel,Ángel caído,Hechicero,-,Wanderer,Criminal,Lumonis,FALSE,FALSE,,
Kriegerisch Sol Messertyp,41,41,Masculino,Pansexual,Shifter,Shifter de oso polar,-,-,Hidra,Ciudadano,Akvados,FALSE,TRUE,,
Kura,19,19,Femenino,Pansexual,Lamia,Lamia naga,-,-,Hidra,Ciudadano,Lumonis,TRUE,FALSE,,
Kurenai Hisae,83,35,Femenino,Bisexual,"Mestizo, Demonio, Shifter","Demonio lucifero, Shifter de tigre",-,-,Ryuulong,Criminal,Flamodis,FALSE,FALSE,,
Kurokague Sato,100,23,Masculino,Heterosexual,Demonio,Demonio yasy,Hechicero,-,Lumiere,ECPD,Akvados,FALSE,FALSE,,
Kurone,120,24,Masculino,Homosexual,"Mestizo, Demonio, Nekomata",Demonio súcubo,-,-,Wanderer,Esclavo,Ventodis,FALSE,FALSE,,
Kurt Kıvanç,150,?!,Masculino,Bisexual,Demonio,Demonio súcubo,Velo,Velo diabólico,Hidra,Corpo,Nicragos,TRUE,FALSE,,
Kwoon Chae Ji,25,25,Masculino,Pansexual,"Mestizo, Humano, Lamia",Lamia medusa,Nova,-,Union Tech,Gobierno,Sunobos,FALSE,FALSE,,
Lars Adler,24,24,Masculino,Bisexual,Shifter,Shifter de zorro ártico,Nova,-,Union Tech,Instituto Prisma,Ventodis,TRUE,FALSE,,
Lawrence Eide,29,29,Masculino,Bisexual,"Mestizo, Humano, Dragón",Dragón oriental,Esper,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Lazarus Blasi Neuhaus,21,21,Masculino,Heterosexual,"Mestizo, Demonio, Kitsune",Demonio raksa,No-muerto,-,Hidra,Esclavo,Ventodis,FALSE,FALSE,,
Lev Vasiliev,27,27,Masculino,Heterosexual,Dragón,Dragón oriental,-,-,Ryuulong,Corpo,Teragos,FALSE,FALSE,,
Lila Soren,70,25,Femenino,Heterosexual,Elfo,Alto elfo,-,-,Adamas,ECPD,Lumonis,TRUE,TRUE,,
Lilith Winona Blackthorne,42,33,Femenino,Sapiosexual,Humano,-,Hechicero,-,Union Tech,Instituto Prisma,Nicragos,FALSE,FALSE,,
Loringer Flame,134,26,Masculino,Bisexual,Dragón,Dragón occidental,-,-,Hidra,Criminal,Flamodis,FALSE,TRUE,,
Louis Cartier,80,35,Masculino,Bisexual,Tsukumogami,N/A!,-,-,Union Tech,Criminal,Akvados,FALSE,FALSE,,
Lu Tao,147,36,Masculino,Demisexual,Humano,-,Nova,-,Adamas,ECPD,Nicragos,FALSE,FALSE,,
Lucian Krieger,80,30,Masculino,Heterosexual,Humano,-,Vampiro,-,Nocity,El Anillo,Nicragos,FALSE,TRUE,,
Luka,18,18,Femenino,Indefinida,Humano,-,-,-,Balzakin,Criminal,Ventodis,FALSE,TRUE,,
Lyrena Baenre,65,25,Femenino,Bisexual,Elfo,Elfo drow,Hechicero,-,Wanderer,Criminal,Flamodis,FALSE,FALSE,,
Lyzzirra Szin,170,27,Femenino,Omnisexual,Elfo,Elfo drow,Esper,-,Ryuulong,Criminal,Ventodis,TRUE,FALSE,,
M-1A (Mia),20,20,Indefinido,Indefinida,SIA,-,-,-,Extranjero,Vagabundo,Ventodis,FALSE,FALSE,,
Madeline Bell,24,24,Femenino,Heterosexual,Humano,-,Anomalía,-,Extranjero,Forastero,Nicragos,FALSE,FALSE,,
Marco Aurelio Martelli,26,18,Masculino,Pansexual,Tsukumogami,Tsukumogami seihou,-,-,Undine,Criminal,Flamodis,FALSE,TRUE,,
Martina de Montenegro,28,28,Femenino,Pansexual,Humano,-,Elemental,Elemental de metal,Adamas,ECPD,Teragos,FALSE,TRUE,,
Matthew Krüger,28,28,Masculino,Bisexual,Humano,-,Hechicero,-,Lumiere,Ciudadano,Sunobos,FALSE,FALSE,,
Matthew Shadows,27,27,Masculino,Bisexual,Humano,-,Anomalía,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Mercury Grindelwald,102!,27,Intersexual,Sapiosexual,Hada,Hada ninfa,Esper,-,Alewing,ECPD,Sunobos,TRUE,FALSE,,
Mia,24,24,Femenino,Bisexual,"Mestizo, Demonio, Shifter","Demonio súcubo, Shifter de gato",-,-,Titania,Esclavo,Flamodis,FALSE,TRUE,,
Momoko Makihatayama,26,26,Masculino,Demisexual,Humano,-,Hechicero,-,Ryuulong,Hayansaeg,Teragos,TRUE,FALSE,,
Ms. Fortune,18,18,Femenino,Bisexual,Shifter,Shifter de gato,No-muerto,-,Wanderer,Criminal,Ventodis,FALSE,FALSE,,
Nerith,29,29,Femenino,Heterosexual,Humano,-,Hechicero,-,Union Tech,Instituto Prisma,Sunobos,FALSE,FALSE,,
Nia'reh Sppearea,45,19,Fluido,Demisexual,Hada,Hada dríade,Licántropo,-,Ryuulong,Hayansaeg,Teragos,TRUE,FALSE,,
Niels Adler,24,24,Masculino,Bisexual,Shifter,Shifter de zorro ártico,Nova,-,Union Tech,Instituto Prisma,Ventodis,TRUE,FALSE,,
Niké Lackless,19,19,Femenino,Bisexual,Nekomata,-,-,-,Wanderer,Criminal,Nicragos,FALSE,FALSE,,
Nikolai,28,28,Masculino,Heterosexual,Shifter,Shifter de león,Vampiro,-,Undine,Esclavo,Flamodis,FALSE,FALSE,,
Nox Aeterna,80,28,Masculino,Pansexual,Demonio,Demonio leviatán,-,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Nyvan Zarveth,50,25,Masculino,Bisexual,SIA,-,-,-,Hidra,El Anillo,N/A!,FALSE,TRUE,,
Oberon Vortigern,140,24,Masculino,Demisexual,"Mestizo, Demonio, Hada","Demonio leviatán, Hada silvana",Hechicero,-,Wanderer,Vagabundo,Nicragos,FALSE,FALSE,,
Oriol Grindelwald,102!,27,Intersexual,Pansexual,Hada,Hada ninfa,Hechicero,-,Alewing,ECPD,Sunobos,TRUE,FALSE,,
Osamu Dazai,22,72,Masculino,Homosexual,Demonio,Demonio raksa,Velo,Velo diabólico,Nocity,Criminal,Nicragos,FALSE,FALSE,,
Park Han-Byul,55,30,Femenino,Bisexual,Humano,-,Mutante,-,Titania,Musa,Arbamis,FALSE,FALSE,,
Patrick Müller,105,30,Masculino,Asexual,Demonio,Demonio yasy,Esper,-,Adamas,Gobierno,Nicragos,FALSE,FALSE,,
Peruere,18,23,No binario,Demisexual,Tsukumogami,Tsukumogami juuhou,Velo,Velo sagrado,Lumiere,Academia Noire,Sunobos,FALSE,FALSE,,
Pierre Williams,80,30,Masculino,Bisexual,Shifter,Shifter de serpiente,Vampiro,-,Extranjero,Forastero,Nicragos,FALSE,FALSE,,
Raze Vantrell,29,29,Masculino,Bisexual,Humano,-,Vampiro,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Razhiel Gauthier,200,35,Masculino,Demisexual,Ángel,Ángel luminoso,-,-,Adamas,Gobierno,Lumonis,FALSE,FALSE,,
Razvan Solberg,40,40,Masculino,Heterosexual,Shifter,Shifter de halcón,Elemental,Elemental de fuego,Lumiere,Academia Noire,Ventodis!,FALSE,FALSE,,
Renji Hiragui,100,36,Masculino,Heterosexual,Demonio,Demonio lucifero,Hechicero,-,Ryuulong,Heibi,Nicragos,FALSE,FALSE,,
Reyaansh Vishnu,100,35,Masculino,Bisexual,Legión,-,-,-,Wanderer,Esclavo,Akvados,FALSE,FALSE,,
Rowan Montgomery,90,35,Masculino,Bisexual,Humano,-,Vampiro,-,Alewing,Corpo,Nicragos,TRUE,FALSE,,
Samantha Bøe,45,45,Femenino,Heterosexual,Hada,Hada ninfa,Hechicero,-,Nocity,Ciudadano,Ventodis,FALSE,FALSE,,
Satiah,300!,30,Femenino,Omnisexual,Demonio,Demonio súcubo,Velo,Velo diabólico,Titania,Musa,Nicragos,FALSE,FALSE,,
Seiren no Tsukiyo,85,?!,Masculino,Bisexual,Kitsune,-,-,-,Ryuulong,Esclavo,Akvados,FALSE,FALSE,,
Seth Ferney,92,32,Masculino,Demisexual,Dragón,Dragón occidental,-,-,Ryuulong,Criminal,Arbamis,FALSE,FALSE,,
Shamila Fitna Bakhtiari,50,28,Femenino,Asexual,Djinn,-,-,-,Wanderer,Criminal,Flamodis,FALSE,TRUE,,
Soma Satsujin,100,34,Masculino,Heterosexual,Tsukumogami,Tsukumogami juuhou,-,-,Ryuulong,Criminal,Nicragos,FALSE,TRUE,,
Sora Fukushima,36,24,Masculino,Heterosexual,Dragón,Dragón oriental,Hechicero,-,Ryuulong,Criminal,N/A!,FALSE,FALSE,,
Søren Skovgaard,30,30,Masculino,Bisexual,Demonio,Demonio súcubo,-,-,Ryuulong,Criminal,Nicragos,FALSE,FALSE,,
Sū Ànxiáng,65,25,Masculino,Demisexual,Legión,-,-,-,Balzakin,Ciudadano,Arbamis,FALSE,FALSE,,
Sumeragi Alexandra Constantine,26,26,Femenino,Bisexual,Humano,-,Hechicero,-,Extranjero,Forastero,Teragos,FALSE,TRUE,,
Svane,87,25,Femenino,Heterosexual,Demonio,Demonio leviatán,Esper,-,N/A!,N/A!,N/A!,FALSE,FALSE,,
Thiago Ferrán,45,45,Masculino,Grisexual,Humano,-,Esper,-,Adamas,ECPD,Teragos,FALSE,FALSE,,
Till,23,23,Masculino,Bisexual,Humano,-,-,-,Union Tech,Instituto Prisma,Nicragos,FALSE,FALSE,,
Vaelyx Cupid,25,25,Masculino,Bisexual,SIA,-,Biodroide,-,Alewing,Instituto Prisma,Ventodis,FALSE,FALSE,,
Vane,31,31,Masculino,Pansexual,Humano,-,-,-,Wanderer,Criminal,Arbamis,FALSE,FALSE,,
Veles,33,33,Femenino,Heterosexual,Humano,-,-,-,Wanderer,Criminal,Nicragos,FALSE,FALSE,,
Vesper Ashwolf,32,32,Femenino,Bisexual,Humano,-,Licántropo,-,Alewing,ECPD,Akvados,FALSE,FALSE,,
Violette Saint,26,26,Femenino,Bisexual,Sirena,Sirena marina,-,-,Alewing,Ciudadano,Akvados,FALSE,FALSE,,
Vyrrasha Szin,170,27,Femenino,Omnisexual,Elfo,Elfo drow,Esper,-,Ryuulong,Criminal,Ventodis,TRUE,FALSE,,
William Charles,29,29,Masculino,Heterosexual,Humano,-,Elemental,Elemental de gravedad,Lumiere,Criminal,Nicragos,FALSE,FALSE,,
Xaden von Selix,45,30,Masculino,Bisexual,Inugami,-,-,-,Adamas,ECPD,Teragos,FALSE,FALSE,,
Xiáng Yǔ Líng,34,34,Femenino,Heterosexual,Dragón,Dragón oriental,-,-,Nocity,Esclavo,Ventodis,FALSE,FALSE,,
Yamato Narukami,45,21,Masculino,Bisexual,Orco,Orco oni,Elemental,Elemental de rayo,Ryuulong,Heibi,Ventodis,FALSE,FALSE,,
Yami,19,19,Femenino,Pansexual,Lamia,Lamia naga,-,-,Hidra,Ciudadano,Lumonis,TRUE,FALSE,,
"Yana Corvina ""Circe""",40,25,Femenino,Bisexual,Hada,Hada fatua,Elemental,Elemental de fuego,Titania,Delta,Flamodis,FALSE,FALSE,,
Yue,237,27,Masculino,Bisexual,Djinn,-,-,-,Ryuulong,Ciudadano,Akvados,FALSE,FALSE,,
Yuta Watanabe,19,19,Masculino,Heterosexual,Humano,-,Esper,-,Union Tech,Instituto Prisma,Teragos,FALSE,FALSE,,
Zachary von Carstein,150,28,Masculino,Heterosexual,"Mestizo, Humano, Demonio",Demonio leviatán,Vampiro,-,Balzakin,El Anillo,Nicragos,FALSE,FALSE,,
Zayre Peltier,22,22,Masculino,Heterosexual,"Mestizo, Humano, Dragón",Dragón occidental,Simbionte,-,Wanderer,Ciudadano,Flamodis,FALSE,FALSE,,
Zenith Leblanc,22,22,Masculino,Demisexual,"Mestizo, Demonio, Hada","Demonio súcubo, Hada ondina",Elemental,Elemental de agua,Union Tech,Instituto Prisma,Akvados,FALSE,TRUE,,
Zephyr,142,?!,Masculino,Bisexual,Djinn,-,-,-,Undine,Ciudadano,Nicragos,FALSE,FALSE,,
